intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2961,-0.0808,-0.7507,-0.5616,9.1726,-99.8978
total,1,2961,-0.0808,-0.7507,-0.5616,9.1726,-99.8978
