intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,2192,6586,-0.0763,-2.1467,-1.3559,11.1737,-99.8904
total,2192,6586,-0.0763,-2.1467,-1.3559,11.1737,-99.8904
