intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2961,-0.0398,-0.5435,-0.2997,38.2621,-99.9078
total,1,2961,-0.0398,-0.5435,-0.2997,38.2621,-99.9078
