intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2961,-0.0398,-0.5465,-0.3076,38.2611,-99.9204
total,1,2961,-0.0398,-0.5465,-0.3076,38.2611,-99.9204
