intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2740,-0.0406,-0.4424,-0.2643,18.0358,-99.8954
total,1,2740,-0.0406,-0.4424,-0.2643,18.0358,-99.8954
