intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,5090,-0.0413,-0.6670,-0.5582,10.7075,-99.8684
total,1,5090,-0.0413,-0.6670,-0.5582,10.7075,-99.8684
