intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,4424,-0.1135,-0.9871,-0.4917,46.5681,-99.9116
total,1,4424,-0.1135,-0.9871,-0.4917,46.5681,-99.9116
