intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2723,-0.0775,-0.9654,-0.6260,25.9074,-99.9119
total,1,2723,-0.0775,-0.9654,-0.6260,25.9074,-99.9119
