intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,5090,-0.0413,-0.6670,-0.5579,10.7075,-99.8674
total,1,5090,-0.0413,-0.6670,-0.5579,10.7075,-99.8674
