,vazao,chuva_media,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,Ks,p,KL,Nash
1,0.00000000000000000000,3.54300000000000014921,5.08399999999999963052,3.543,0.0,1.5409999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984504510546347,0.6916827872680407,0.5143496889509545
2,0.00000000000000000000,0.24499999999999999556,5.08399999999999963052,0.245,0.0,4.8389999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
3,0.00000000000000000000,0.03700000000000000511,5.08399999999999963052,0.037000000000000005,0.0,5.047,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
4,0.00000000000000000000,5.03600000000000047606,5.08399999999999963052,5.0360000000000005,0.0,0.047999999999999154,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
5,0.00000000000000000000,0.26200000000000001066,5.08399999999999963052,0.262,0.0,4.821999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
6,0.00000000000000000000,1.35300000000000020250,5.08399999999999963052,1.3530000000000002,0.0,3.7309999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
7,0.00000000000000000000,2.22599999999999997868,5.08399999999999963052,2.226,0.0,2.8579999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
8,0.00000000000000000000,2.65399999999999991473,5.08399999999999963052,2.654,0.0,2.4299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
9,0.00000000000000000000,3.96600000000000019185,5.08399999999999963052,3.966,0.0,1.1179999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
10,0.00000000000000000000,0.00900000000000000105,5.08399999999999963052,0.009000000000000001,0.0,5.074999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,
