intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2723,-0.0774,-0.9637,-0.6224,25.9067,-99.9053
total,1,2723,-0.0774,-0.9637,-0.6224,25.9067,-99.9053
