intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2723,-0.0774,-0.9638,-0.6211,25.9064,-99.9038
total,1,2723,-0.0774,-0.9638,-0.6211,25.9064,-99.9038
