intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2723,-0.0785,-0.9865,-0.6794,25.9194,-99.9823
total,1,2723,-0.0785,-0.9865,-0.6794,25.9194,-99.9823
