intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,2,12766,-0.0339,-0.2671,-0.1166,79.5734,-99.9064
total,2,12766,-0.0339,-0.2671,-0.1166,79.5734,-99.9064
