intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,12411,-0.0653,-4.4445,-0.6707,131.2055,-99.9227
total,1,12411,-0.0653,-4.4445,-0.6707,131.2055,-99.9227
