intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,4785,-0.1042,-1.2323,-0.7428,28.3215,-99.9101
total,1,4785,-0.1042,-1.2323,-0.7428,28.3215,-99.9101
