intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,992,-0.0694,-0.5225,-0.2158,87.5102,-99.8996
total,1,992,-0.0694,-0.5225,-0.2158,87.5102,-99.8996
