intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,12375,-0.0587,-2.9029,-0.6621,77.7539,-99.9062
total,1,12375,-0.0587,-2.9029,-0.6621,77.7539,-99.9062
