intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2723,-0.0774,-0.9680,-0.6348,25.9068,-99.9258
total,1,2723,-0.0774,-0.9680,-0.6348,25.9068,-99.9258
