intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2961,-0.0407,-0.5522,-0.3187,38.2771,-99.9232
total,1,2961,-0.0407,-0.5522,-0.3187,38.2771,-99.9232
