intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2961,-0.0398,-0.5464,-0.3073,38.2612,-99.9201
total,1,2961,-0.0398,-0.5464,-0.3073,38.2612,-99.9201
