intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,4424,-0.1135,-0.9870,-0.4915,46.5680,-99.9113
total,1,4424,-0.1135,-0.9870,-0.4915,46.5680,-99.9113
