intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2781,-0.0666,-0.9155,-0.3793,62.6968,-99.9088
total,1,2781,-0.0666,-0.9155,-0.3793,62.6968,-99.9088
