Tamanho,Combo,Rodada,Iteracao,Gbest_NSE
50,w0.4_c1.0_c2.0,1,1,0.6564791202545166
50,w0.4_c1.0_c2.0,1,2,0.7002942562103271
50,w0.4_c1.0_c2.0,1,3,0.7243819236755371
50,w0.4_c1.0_c2.0,1,4,0.7243819236755371
50,w0.4_c1.0_c2.0,1,5,0.7268227338790894
50,w0.4_c1.0_c2.0,1,6,0.72747802734375
50,w0.4_c1.0_c2.0,1,7,0.7275038957595825
50,w0.4_c1.0_c2.0,1,8,0.7277296781539917
50,w0.4_c1.0_c2.0,1,9,0.7278364896774292
50,w0.4_c1.0_c2.0,1,10,0.7278364896774292
50,w0.4_c1.0_c2.0,1,11,0.727838397026062
50,w0.4_c1.0_c2.0,1,12,0.7278398871421814
50,w0.4_c1.0_c2.0,1,13,0.7278398871421814
50,w0.4_c1.0_c2.0,1,14,0.7278435826301575
50,w0.4_c1.0_c2.0,1,15,0.7278438806533813
50,w0.4_c1.0_c2.0,1,16,0.7278438806533813
50,w0.4_c1.0_c2.0,1,17,0.7278441190719604
50,w0.4_c1.0_c2.0,1,18,0.7278443574905396
50,w0.4_c1.0_c2.0,1,19,0.7278443574905396
50,w0.4_c1.0_c2.0,1,20,0.7278444170951843
50,w0.4_c1.0_c2.0,2,1,0.7264206409454346
50,w0.4_c1.0_c2.0,2,2,0.7264206409454346
50,w0.4_c1.0_c2.0,2,3,0.7264206409454346
50,w0.4_c1.0_c2.0,2,4,0.7264206409454346
50,w0.4_c1.0_c2.0,2,5,0.7264206409454346
50,w0.4_c1.0_c2.0,2,6,0.7275102138519287
50,w0.4_c1.0_c2.0,2,7,0.7276015877723694
50,w0.4_c1.0_c2.0,2,8,0.7277915477752686
50,w0.4_c1.0_c2.0,2,9,0.7277915477752686
50,w0.4_c1.0_c2.0,2,10,0.7278364896774292
50,w0.4_c1.0_c2.0,2,11,0.7278364896774292
50,w0.4_c1.0_c2.0,2,12,0.7278364896774292
50,w0.4_c1.0_c2.0,2,13,0.7278429865837097
50,w0.4_c1.0_c2.0,2,14,0.7278443574905396
50,w0.4_c1.0_c2.0,2,15,0.7278443574905396
50,w0.4_c1.0_c2.0,2,16,0.7278443574905396
50,w0.4_c1.0_c2.0,2,17,0.7278443574905396
50,w0.4_c1.0_c2.0,2,18,0.7278443574905396
50,w0.4_c1.0_c2.0,2,19,0.7278443574905396
50,w0.4_c1.0_c2.0,2,20,0.7278443574905396
50,w0.4_c1.0_c2.0,3,1,0.6807497143745422
50,w0.4_c1.0_c2.0,3,2,0.7207175493240356
50,w0.4_c1.0_c2.0,3,3,0.7258352041244507
50,w0.4_c1.0_c2.0,3,4,0.7270762920379639
50,w0.4_c1.0_c2.0,3,5,0.7273684144020081
50,w0.4_c1.0_c2.0,3,6,0.7276507616043091
50,w0.4_c1.0_c2.0,3,7,0.727658748626709
50,w0.4_c1.0_c2.0,3,8,0.7277636528015137
50,w0.4_c1.0_c2.0,3,9,0.7278440594673157
50,w0.4_c1.0_c2.0,3,10,0.7278440594673157
50,w0.4_c1.0_c2.0,3,11,0.7278440594673157
50,w0.4_c1.0_c2.0,3,12,0.7278440594673157
50,w0.4_c1.0_c2.0,3,13,0.7278441190719604
50,w0.4_c1.0_c2.0,3,14,0.7278441190719604
50,w0.4_c1.0_c2.0,3,15,0.7278441190719604
50,w0.4_c1.0_c2.0,3,16,0.7278443574905396
50,w0.4_c1.0_c2.0,3,17,0.7278443574905396
50,w0.4_c1.0_c2.0,3,18,0.7278443574905396
50,w0.4_c1.0_c2.0,3,19,0.7278444170951843
50,w0.4_c1.0_c2.0,3,20,0.7278444170951843
50,w0.4_c1.0_c2.0,4,1,0.69599449634552
50,w0.4_c1.0_c2.0,4,2,0.7119618058204651
50,w0.4_c1.0_c2.0,4,3,0.713680624961853
50,w0.4_c1.0_c2.0,4,4,0.713680624961853
50,w0.4_c1.0_c2.0,4,5,0.713680624961853
50,w0.4_c1.0_c2.0,4,6,0.7239398956298828
50,w0.4_c1.0_c2.0,4,7,0.7272758483886719
50,w0.4_c1.0_c2.0,4,8,0.7277244329452515
50,w0.4_c1.0_c2.0,4,9,0.7277730703353882
50,w0.4_c1.0_c2.0,4,10,0.7278251647949219
50,w0.4_c1.0_c2.0,4,11,0.7278366088867188
50,w0.4_c1.0_c2.0,4,12,0.7278376817703247
50,w0.4_c1.0_c2.0,4,13,0.7278417348861694
50,w0.4_c1.0_c2.0,4,14,0.7278428077697754
50,w0.4_c1.0_c2.0,4,15,0.7278441190719604
50,w0.4_c1.0_c2.0,4,16,0.7278443574905396
50,w0.4_c1.0_c2.0,4,17,0.7278443574905396
50,w0.4_c1.0_c2.0,4,18,0.7278443574905396
50,w0.4_c1.0_c2.0,4,19,0.7278443574905396
50,w0.4_c1.0_c2.0,4,20,0.7278444170951843
50,w0.4_c1.0_c2.0,5,1,0.6519872546195984
50,w0.4_c1.0_c2.0,5,2,0.7253742218017578
50,w0.4_c1.0_c2.0,5,3,0.7278169989585876
50,w0.4_c1.0_c2.0,5,4,0.7278169989585876
50,w0.4_c1.0_c2.0,5,5,0.7278169989585876
50,w0.4_c1.0_c2.0,5,6,0.727824330329895
50,w0.4_c1.0_c2.0,5,7,0.727824330329895
50,w0.4_c1.0_c2.0,5,8,0.727824330329895
50,w0.4_c1.0_c2.0,5,9,0.7278434634208679
50,w0.4_c1.0_c2.0,5,10,0.7278434634208679
50,w0.4_c1.0_c2.0,5,11,0.7278434634208679
50,w0.4_c1.0_c2.0,5,12,0.7278434634208679
50,w0.4_c1.0_c2.0,5,13,0.7278443574905396
50,w0.4_c1.0_c2.0,5,14,0.7278443574905396
50,w0.4_c1.0_c2.0,5,15,0.7278443574905396
50,w0.4_c1.0_c2.0,5,16,0.7278443574905396
50,w0.4_c1.0_c2.0,5,17,0.7278443574905396
50,w0.4_c1.0_c2.0,5,18,0.7278443574905396
50,w0.4_c1.0_c2.0,5,19,0.7278443574905396
50,w0.4_c1.0_c2.0,5,20,0.7278443574905396
50,w0.4_c1.0_c2.0,6,1,0.6412815451622009
50,w0.4_c1.0_c2.0,6,2,0.7116526365280151
50,w0.4_c1.0_c2.0,6,3,0.7116526365280151
50,w0.4_c1.0_c2.0,6,4,0.7116526365280151
50,w0.4_c1.0_c2.0,6,5,0.721892774105072
50,w0.4_c1.0_c2.0,6,6,0.7276402711868286
50,w0.4_c1.0_c2.0,6,7,0.7276860475540161
50,w0.4_c1.0_c2.0,6,8,0.727749228477478
50,w0.4_c1.0_c2.0,6,9,0.7278185486793518
50,w0.4_c1.0_c2.0,6,10,0.7278413772583008
50,w0.4_c1.0_c2.0,6,11,0.7278413772583008
50,w0.4_c1.0_c2.0,6,12,0.7278413772583008
50,w0.4_c1.0_c2.0,6,13,0.7278413772583008
50,w0.4_c1.0_c2.0,6,14,0.7278440594673157
50,w0.4_c1.0_c2.0,6,15,0.7278440594673157
