intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,9912,-0.0123,-0.3623,-0.2355,13.5878,-99.8919
total,1,9912,-0.0123,-0.3623,-0.2355,13.5878,-99.8919
