intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,12375,-0.0587,-2.9030,-0.6622,77.7539,-99.9064
total,1,12375,-0.0587,-2.9030,-0.6622,77.7539,-99.9064
