,vazao,chuva_media,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,Ks,KL,Nash
1,1.84000000000000007994,2.47313538599999960255,5.95161290300000089815,2.473135386,0.0,3.478477517,0.0,0.0,1.0,0.0,0.056686169230164674,0.9433138307698352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433138307698352,0.0,0.0,0.0,0.0,0.0,0.37168609536838365,0.4262296510286352
2,1.60880000000000000782,5.91606934599999956248,5.95161290300000089815,5.916069346,0.0,0.035543557000001336,0.0,0.0,0.9433138307698352,0.0,0.0005466466698593265,0.9427671840999758,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9427671840999758,0,0,0,0.0,,,
3,1.60880000000000000782,0.07451194699999998117,5.95161290300000089815,0.07451194699999998,0.0,5.8771009560000005,0.0,0.0,0.9427671840999758,0.0,0.09033564936837209,0.8524315347316037,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8524315347316037,0,0,0,0.0,,,
4,1.60880000000000000782,0.93345323900000021222,5.95161290300000089815,0.9334532390000002,0.0,5.018159664000001,0.0,0.0,0.8524315347316037,0.0,0.06979383400301793,0.7826377007285857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7826377007285857,0,0,0,0.0,,,
5,1.60880000000000000782,1.69121711400000007686,5.95161290300000089815,1.691217114,0.0,4.260395789,0.0,0.0,0.7826377007285857,0.0,0.0544342496055982,0.7282034511229876,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282034511229876,0,0,0,0.0,,,
6,1.60880000000000000782,2.56799409299999981116,5.95161290300000089815,2.567994093,0.0,3.383618810000001,0.0,0.0,0.7282034511229876,0.0,0.04024292166557755,0.68796052945741,0,0.0,0.0,0.0,0.0,0.0,0.0,0.68796052945741,0,0,0,0.0,,,
7,1.72209999999999996412,3.89601256100000004068,5.95161290300000089815,3.896012561,0.0,2.055600342000001,0.0,0.0,0.68796052945741,0.0,0.02310472719515794,0.664855802262252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.664855802262252,0,0,0,0.0,,,
8,1.72209999999999996412,1.16571989899999994833,5.95161290300000089815,1.165719899,0.0,4.785893004000001,0.0,0.0,0.664855802262252,0.0,0.05199617194609125,0.6128596303161608,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6128596303161608,0,0,0,0.0,,,
9,1.72209999999999996412,0.88867853600000001890,5.95161290300000089815,0.888678536,0.0,5.062934367,0.0,0.0,0.6128596303161608,0.0,0.050725860695055115,0.5621337696211056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5621337696211056,0,0,0,0.0,,,
10,1.72209999999999996412,2.88889000399999984481,5.95161290300000089815,2.888890004,0.0,3.062722899000001,0.0,0.0,0.5621337696211056,0.0,0.028157505937155186,0.5339762636839505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5339762636839505,0,0,0,0.0,,,
