intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2781,-0.0666,-0.9128,-0.3756,62.6959,-99.9032
total,1,2781,-0.0666,-0.9128,-0.3756,62.6959,-99.9032
