intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,4785,-0.1042,-1.2333,-0.7457,28.3216,-99.9157
total,1,4785,-0.1042,-1.2333,-0.7457,28.3216,-99.9157
