intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,8842,-0.0480,-0.2801,-0.1355,49.0890,-99.8956
total,1,8842,-0.0480,-0.2801,-0.1355,49.0890,-99.8956
