intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,2695,-0.0688,-0.9523,-0.3888,63.6881,-99.9031
total,1,2695,-0.0688,-0.9523,-0.3888,63.6881,-99.9031
