intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,8146,-0.0247,-0.2277,-0.1157,21.3551,-99.8927
total,1,8146,-0.0247,-0.2277,-0.1157,21.3551,-99.8927
