intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,6272,-0.0158,-0.0412,-0.0004,27.5859,-99.8658
total,1,6272,-0.0158,-0.0412,-0.0004,27.5859,-99.8658
