intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,1,8074,-0.0153,-0.0690,-0.0306,4.3209,-99.9130
total,1,8074,-0.0153,-0.0690,-0.0306,4.3209,-99.9130
