ID,Bacia,Station,Metodo,Iteracao,FO
29,FLORESTA,Floresta (r.),r,14,605431407837184.0
29,FLORESTA,Floresta (r.),r,15,605431407837184.0
29,FLORESTA,Floresta (r.),r,16,605508650139648.0
29,FLORESTA,Floresta (r.),r,17,605668906106880.0
29,FLORESTA,Floresta (r.),r,18,605668906106880.0
29,FLORESTA,Floresta (r.),r,19,605668906106880.0
29,FLORESTA,Floresta (r.),r,20,605668906106880.0
29,FLORESTA,Floresta (r.),r,21,605718164013056.0
29,FLORESTA,Floresta (r.),r,22,605839966601216.0
29,FLORESTA,Floresta (r.),r,23,605839966601216.0
29,FLORESTA,Floresta (r.),r,24,605840033710080.0
29,FLORESTA,Floresta (r.),r,25,605840033710080.0
29,FLORESTA,Floresta (r.),r,26,605858421538816.0
29,FLORESTA,Floresta (r.),r,27,605858421538816.0
29,FLORESTA,Floresta (r.),r,28,605858421538816.0
29,FLORESTA,Floresta (r.),r,29,605858421538816.0
29,FLORESTA,Floresta (r.),r,30,605858421538816.0
29,FLORESTA,Floresta (r.),r,31,605889090289664.0
29,FLORESTA,Floresta (r.),r,32,605889090289664.0
29,FLORESTA,Floresta (r.),r,33,605891103555584.0
29,FLORESTA,Floresta (r.),r,34,605904391110656.0
29,FLORESTA,Floresta (r.),r,35,605910430908416.0
29,FLORESTA,Floresta (r.),r,36,605910430908416.0
29,FLORESTA,Floresta (r.),r,37,605912175738880.0
29,FLORESTA,Floresta (r.),r,38,605912175738880.0
29,FLORESTA,Floresta (r.),r,39,605912175738880.0
29,FLORESTA,Floresta (r.),r,40,605912175738880.0
29,FLORESTA,Floresta (r.),r,41,605912175738880.0
29,FLORESTA,Floresta (r.),r,42,605912175738880.0
29,FLORESTA,Floresta (r.),r,43,605912175738880.0
29,FLORESTA,Floresta (r.),r,44,605912175738880.0
29,FLORESTA,Floresta (r.),r,45,605912175738880.0
29,FLORESTA,Floresta (r.),r,46,605912175738880.0
29,FLORESTA,Floresta (r.),r,47,605913316589568.0
29,FLORESTA,Floresta (r.),r,48,605913316589568.0
29,FLORESTA,Floresta (r.),r,49,605913316589568.0
29,FLORESTA,Floresta (r.),r,50,605913316589568.0
29,FLORESTA,Floresta (r.),r,51,605913316589568.0
29,FLORESTA,Floresta (r.),r,52,605913316589568.0
29,FLORESTA,Floresta (r.),r,53,605913316589568.0
29,FLORESTA,Floresta (r.),r,54,605913316589568.0
29,FLORESTA,Floresta (r.),r,55,605913652133888.0
29,FLORESTA,Floresta (r.),r,56,605914860093440.0
29,FLORESTA,Floresta (r.),r,57,605914860093440.0
29,FLORESTA,Floresta (r.),r,58,605915531182080.0
29,FLORESTA,Floresta (r.),r,59,605918752407552.0
29,FLORESTA,Floresta (r.),r,60,605918752407552.0
29,FLORESTA,Floresta (r.),r,61,605918752407552.0
29,FLORESTA,Floresta (r.),r,62,605918752407552.0
29,FLORESTA,Floresta (r.),r,63,605918752407552.0
29,FLORESTA,Floresta (r.),r,64,605918752407552.0
29,FLORESTA,Floresta (r.),r,65,605918752407552.0
29,FLORESTA,Floresta (r.),r,66,605918752407552.0
29,FLORESTA,Floresta (r.),r,67,605918752407552.0
29,FLORESTA,Floresta (r.),r,68,605918752407552.0
29,FLORESTA,Floresta (r.),r,69,605918752407552.0
31,ILHA GRANDE,Ilha Grande (r.),r,1,1105941632.0
31,ILHA GRANDE,Ilha Grande (r.),r,2,620577073135616.0
31,ILHA GRANDE,Ilha Grande (r.),r,3,621473446232064.0
31,ILHA GRANDE,Ilha Grande (r.),r,4,625822637490176.0
31,ILHA GRANDE,Ilha Grande (r.),r,5,625822637490176.0
31,ILHA GRANDE,Ilha Grande (r.),r,6,625822637490176.0
31,ILHA GRANDE,Ilha Grande (r.),r,7,625822637490176.0
31,ILHA GRANDE,Ilha Grande (r.),r,8,625822637490176.0
31,ILHA GRANDE,Ilha Grande (r.),r,9,625881626181632.0
31,ILHA GRANDE,Ilha Grande (r.),r,10,625881626181632.0
31,ILHA GRANDE,Ilha Grande (r.),r,11,625951620726784.0
31,ILHA GRANDE,Ilha Grande (r.),r,12,625951620726784.0
31,ILHA GRANDE,Ilha Grande (r.),r,13,626589826023424.0
31,ILHA GRANDE,Ilha Grande (r.),r,14,626589826023424.0
31,ILHA GRANDE,Ilha Grande (r.),r,15,626589826023424.0
31,ILHA GRANDE,Ilha Grande (r.),r,16,626589826023424.0
31,ILHA GRANDE,Ilha Grande (r.),r,17,626589826023424.0
31,ILHA GRANDE,Ilha Grande (r.),r,18,626589826023424.0
31,ILHA GRANDE,Ilha Grande (r.),r,19,626703978201088.0
31,ILHA GRANDE,Ilha Grande (r.),r,20,626703978201088.0
31,ILHA GRANDE,Ilha Grande (r.),r,21,626703978201088.0
31,ILHA GRANDE,Ilha Grande (r.),r,22,626703978201088.0
31,ILHA GRANDE,Ilha Grande (r.),r,23,626739076136960.0
31,ILHA GRANDE,Ilha Grande (r.),r,24,626739076136960.0
31,ILHA GRANDE,Ilha Grande (r.),r,25,627225950945280.0
31,ILHA GRANDE,Ilha Grande (r.),r,26,627225950945280.0
31,ILHA GRANDE,Ilha Grande (r.),r,27,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,28,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,29,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,30,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,31,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,32,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,33,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,34,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,35,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,36,629737701507072.0
31,ILHA GRANDE,Ilha Grande (r.),r,37,629737701507072.0
33,SERRA TALHADA,Serra Talhada (r.),r,1,559026064588800.0
33,SERRA TALHADA,Serra Talhada (r.),r,2,576019337576448.0
33,SERRA TALHADA,Serra Talhada (r.),r,3,576019337576448.0
33,SERRA TALHADA,Serra Talhada (r.),r,4,578729126395904.0
33,SERRA TALHADA,Serra Talhada (r.),r,5,578729126395904.0
33,SERRA TALHADA,Serra Talhada (r.),r,6,578746306265088.0
33,SERRA TALHADA,Serra Talhada (r.),r,7,578746306265088.0
33,SERRA TALHADA,Serra Talhada (r.),r,8,578798047199232.0
33,SERRA TALHADA,Serra Talhada (r.),r,9,578909045260288.0
33,SERRA TALHADA,Serra Talhada (r.),r,10,578909045260288.0
33,SERRA TALHADA,Serra Talhada (r.),r,11,578915152166912.0
33,SERRA TALHADA,Serra Talhada (r.),r,12,578915152166912.0
33,SERRA TALHADA,Serra Talhada (r.),r,13,578915152166912.0
33,SERRA TALHADA,Serra Talhada (r.),r,14,578915152166912.0
33,SERRA TALHADA,Serra Talhada (r.),r,15,578915152166912.0
33,SERRA TALHADA,Serra Talhada (r.),r,16,578915554820096.0
33,SERRA TALHADA,Serra Talhada (r.),r,17,578915554820096.0
33,SERRA TALHADA,Serra Talhada (r.),r,18,578915554820096.0
33,SERRA TALHADA,Serra Talhada (r.),r,19,578915554820096.0
33,SERRA TALHADA,Serra Talhada (r.),r,20,578915554820096.0
33,SERRA TALHADA,Serra Talhada (r.),r,21,578915554820096.0
33,SERRA TALHADA,Serra Talhada (r.),r,22,578915554820096.0
33,SERRA TALHADA,Serra Talhada (r.),r,23,578915621928960.0
33,SERRA TALHADA,Serra Talhada (r.),r,24,578915621928960.0
33,SERRA TALHADA,Serra Talhada (r.),r,25,578915756146688.0
33,SERRA TALHADA,Serra Talhada (r.),r,26,578915756146688.0
33,SERRA TALHADA,Serra Talhada (r.),r,27,578915756146688.0
33,SERRA TALHADA,Serra Talhada (r.),r,28,578915823255552.0
33,SERRA TALHADA,Serra Talhada (r.),r,29,578915823255552.0
33,SERRA TALHADA,Serra Talhada (r.),r,30,578915823255552.0
33,SERRA TALHADA,Serra Talhada (r.),r,31,578915823255552.0
33,SERRA TALHADA,Serra Talhada (r.),r,32,578915823255552.0
33,SERRA TALHADA,Serra Talhada (r.),r,33,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,34,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,35,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,36,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,37,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,38,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,39,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,40,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,41,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,42,578915957473280.0
33,SERRA TALHADA,Serra Talhada (r.),r,43,578915957473280.0
