vazao,vazao_calc,chuva_media
0.874,0.31140828,0.017
0.821,0.34635487,0.0
0.769,0.37821457,3.146
0.72,0.40669116,2.875
0.629,0.5300274,14.763
0.586,1.5199631,8.623
0.506,0.0,1.678
0.4,0.0,1.145
0.311,0.0,0.009
0.236,0.0,1.798
0.93,0.27652875,2.653
2.711,1.1961486,10.628
2.486,1.3815206,3.945
2.486,0.0,2.04
2.072,0.0,2.429
1.884,0.027900346,0.949
2.072,0.44875714,1.693
1.884,1.1529406,3.537
2.171,2.0092716,4.235
5.205,9.895276,27.686
4.359,6.491417,2.261
3.609,1.0270888,0.909
3.075,1.808295,3.681
2.486,5.133049,5.277
2.829,1.0865747,1.585
3.203,0.0,0.132
2.829,0.0,0.596
2.486,0.0,0.229
2.273,0.116762064,2.038
2.072,1.3517088,6.225
1.977,3.8325012,7.345
2.072,8.3158455,9.38
2.171,5.192513,2.601
22.159,3.7172627,3.027
95.841,7.1432714,6.33
14.004,2.713842,2.048
10.521,5.4101524,5.26
32.989,1.0466608,1.745
14.354,0.0,1.002
6.566,0.5648212,0.302
4.685,1.6774913,0.506
3.609,2.999333,0.794
2.951,4.3394375,0.656
2.597,5.6495185,3.337
3.203,10.066018,17.953
3.609,17.269121,9.436
3.075,13.26278,2.375
6.156,23.764244,11.244
5.957,51.15991,16.87
5.028,64.91715,7.387
6.566,78.85555,7.929
5.957,182.54655,25.918
12.988,346.37704,25.513
22.159,388.26465,15.498
33.608,490.54303,20.73
340.97,388.60025,8.067
158.144,319.38925,7.225
92.749,250.77336,4.47
43.835,164.67009,0.961
25.11,105.87895,0.319
17.367,74.538,1.066
12.661,65.928024,2.805
10.237,49.83657,1.67
8.144,39.99867,2.071
6.994,46.508495,4.455
6.156,53.98788,5.78
5.573,72.71309,11.222
5.205,81.14668,6.938
5.763,84.67661,5.748
6.778,89.9546,6.233
9.415,89.60865,4.564
9.958,58.44975,0.308
9.151,36.49344,0.221
7.905,35.779907,2.769
8.144,42.1396,5.35
6.778,46.25752,4.238
5.763,34.88824,1.566
5.387,40.848343,6.118
26.679,63.13911,15.468
17.367,78.3364,8.669
15.072,72.92656,2.921
14.71,54.111668,1.185
112.058,39.64379,1.137
34.234,24.157944,0.354
15.813,11.877109,0.039
10.811,10.66616,2.118
8.389,3.4503074,0.18
7.44,0.67498404,0.856
6.566,0.0,0.619
5.763,0.0,0.867
5.205,0.0,0.145
4.685,0.0,0.195
4.359,0.0,0.726
4.047,0.0,0.302
3.751,0.0,0.312
3.609,0.0,0.147
3.335,0.52934307,4.71
3.203,0.0,1.68
3.075,0.0,0.912
3.075,0.0,2.797
3.075,0.0,0.46
3.897,0.0,0.333
4.855,0.0,1.026
