vazao,vazao_calc,chuva_media
0.0,0.027247615,10.078
23.573,7.4479485,48.009
42.0,32.02002,25.378
18.582,56.322765,18.694
1.484,25.822254,0.583
0.293,11.056527,0.764
0.377,2.9593992,0.297
0.042,0.02255892,0.134
0.005,0.0,0.173
0.001,0.0,1.22
0.0,0.0,2.374
0.0,19.643875,22.848
0.003,9.492875,1.68
0.0,2.7944326,0.809
0.0,0.26715797,1.266
0.0,0.0,0.728
0.0,0.014491281,4.84
47.55,49.312828,31.333
77.425,93.488976,20.042
285.833,149.68439,23.374
252.45,178.68626,21.835
70.079,92.78942,4.25
27.1,40.64107,0.088
13.175,17.54789,0.301
5.58,6.407893,0.51
2.859,2.1055443,1.635
6.021,2.5578861,5.131
1.588,0.17012061,1.162
0.866,0.0,1.134
0.293,0.0,0.275
0.118,0.0,2.587
0.032,0.0,0.602
0.008,0.0,0.221
0.001,0.0,1.402
0.0,0.0,2.109
0.005,3.0906985,10.068
44.036,61.698112,27.469
20.768,38.18187,3.628
4.755,23.679298,3.171
1.926,25.497248,7.438
6.48,90.03208,24.048
141.774,101.371544,14.621
46.126,91.88006,11.3
22.146,76.97748,9.254
18.582,60.99811,7.492
8.51,41.29235,4.637
12.486,39.062153,7.596
6.959,30.728542,5.425
9.067,17.66439,2.516
41.333,32.565426,11.719
30.906,39.852318,9.794
14.614,29.761568,4.93
110.656,53.929153,14.424
474.862,187.02919,34.494
85.184,136.54196,11.76
267.824,119.73748,12.944
58.203,92.469536,9.357
117.395,62.18722,5.729
30.906,41.25156,4.435
26.579,32.262825,5.463
51.216,27.17315,5.739
11.172,30.928635,8.314
147.013,71.80011,18.429
53.489,70.78014,10.558
33.797,84.0388,13.638
37.458,73.4774,9.46
22.616,47.143784,4.388
12.15,24.134127,1.571
18.582,19.949272,5.127
72.785,19.742376,6.296
15.748,9.112958,1.429
10.545,4.7185564,2.556
47.55,2.781511,3.307
16.93,0.48972183,1.788
10.856,0.04428436,3.088
33.797,18.912926,18.363
20.32,22.328714,7.678
10.856,13.017086,2.652
9.067,10.133685,4.254
6.48,3.9533093,1.514
4.755,0.28810945,0.43
3.654,0.02646956,3.402
160.66,11.87881,15.295
26.579,7.380825,3.148
11.819,2.1146135,1.131
6.959,0.0,0.074
4.755,0.0,0.989
3.826,0.0010255097,4.546
18.161,11.956939,15.76
7.205,14.4529915,6.904
14.986,24.20982,10.025
9.067,44.31401,13.377
25.555,42.795918,8.125
14.614,24.170834,2.413
7.974,15.043259,3.064
5.798,8.918171,2.856
5.58,10.644791,6.345
6.48,5.7179785,2.591
4.184,2.621384,2.547
3.164,2.1476953,4.219
7.456,0.9581117,3.17
4.755,0.011892254,2.059
3.323,0.0,2.735
2.859,0.0,2.776
8.786,0.0,0.0
4.003,0.0,0.706
2.713,0.0,1.85
2.434,0.0,3.098
2.171,0.0,1.779
1.809,0.0,2.717
1.588,1.1307081,7.835
19.44,5.37605,8.939
28.697,11.935867,9.203
17.335,5.783561,2.109
11.819,5.5043325,4.856
8.51,0.7077378,0.317
6.021,0.0,0.209
3.826,0.0,2.063
3.654,0.0,2.296
3.164,0.0,1.078
2.859,0.0,0.806
2.571,0.0,0.279
2.046,0.0,0.288
1.809,0.0,0.6
1.588,0.0,0.836
1.383,0.0055160434,4.675
1.286,0.0,1.744
1.697,0.0,0.289
1.484,0.0,0.444
1.194,0.0,0.463
1.02,0.0,0.043
0.866,0.0,0.153
0.79,0.0,0.178
0.588,0.0,0.198
0.474,0.0,0.15
0.474,0.0,0.072
0.424,0.0,0.258
0.377,0.0,0.717
0.333,0.0,0.03
0.293,0.0,0.672
0.293,0.0,1.268
0.257,0.0,0.445
0.223,0.0,0.275
0.193,0.0,0.174
0.193,0.0,0.111
0.165,0.0,0.0
0.141,0.0,0.056
0.141,0.0,0.075
0.141,0.0,0.771
0.118,0.0,0.848
0.118,0.0,0.093
0.099,0.0,0.01
0.099,0.0,0.616
0.081,0.0,1.35
0.081,0.0,1.094
0.066,0.0,1.001
0.066,0.0,0.332
0.066,0.0,0.088
0.053,0.0,0.008
0.053,0.0,0.038
0.053,0.0,0.197
0.053,0.0,0.477
0.053,0.0,1.673
0.066,0.0,0.865
0.066,0.0,1.177
0.066,0.0,1.569
0.053,0.0,0.726
0.053,0.0,0.34
0.053,0.0,0.718
0.053,0.0,2.61
0.053,0.0,1.81
0.053,0.0,0.882
0.053,0.0,1.081
0.042,0.0,0.638
0.042,0.0,0.396
0.042,0.0,1.306
0.042,0.0,1.994
0.042,0.0,0.581
0.042,0.0,0.181
0.042,0.0,0.168
0.042,0.0,0.117
0.042,0.0,0.026
0.032,0.0,0.509
0.032,0.0,0.0
0.032,0.0,0.0
0.032,0.0,0.078
0.0,0.0,0.422
0.0,0.0,0.024
0.0,0.0,0.055
0.0,0.0,0.11
0.0,0.00011656339,0.0
0.0,0.003870602,0.138
0.0,0.0107644675,0.148
0.0,0.020065863,0.151
0.0,0.031094164,0.084
