vazao,vazao_calc,chuva_media
0.93,1.1388814,2.87
0.93,1.1518095,4.488
0.874,1.1589524,0.18
0.821,1.1608264,0.033
0.769,1.1610001,4.36
0.72,1.1593041,3.936
0.629,1.2074863,12.27
0.586,1.4639317,7.567
0.506,0.0,1.123
0.4,0.0,0.525
0.311,0.0,0.009
0.236,0.0,1.056
0.93,0.025194274,3.412
2.711,0.110761575,9.242
2.486,0.0,2.727
2.486,0.0,1.279
2.072,0.004259358,2.991
1.884,0.04745851,0.646
2.072,0.12387714,3.057
1.884,0.22658513,3.214
2.171,0.3500227,3.653
5.205,2.7811573,27.574
4.359,1.3183837,2.768
3.609,0.08065857,2.048
3.075,0.0,2.464
2.486,0.095829025,5.076
2.829,0.0,2.851
3.203,0.0,0.125
2.829,0.0,1.107
2.486,0.0,0.521
2.273,0.0,2.937
2.072,0.10588217,6.229
1.977,0.4099236,4.788
2.072,1.4519707,8.916
2.171,1.0287735,3.536
22.159,2.7480679,9.195
95.841,4.825096,7.387
14.004,3.3933802,3.145
10.521,9.406834,13.683
32.989,11.236972,4.623
14.354,4.748108,1.264
6.566,0.5229029,0.258
4.685,0.0,0.309
3.609,0.0,0.682
2.951,0.0,1.008
2.597,0.10179788,4.29
3.203,2.8686345,13.501
3.609,7.6476626,9.534
3.075,3.665988,1.496
6.156,20.58071,18.322
5.957,61.327442,19.194
5.028,58.12078,3.82
6.566,67.41276,7.169
5.957,105.87358,14.194
12.988,168.53064,17.032
22.159,184.92262,9.872
33.608,247.86057,16.061
340.97,245.45241,8.922
158.144,231.27808,7.461
92.749,191.51453,3.799
43.835,134.4605,0.75
25.11,94.34253,0.751
17.367,73.837616,2.063
12.661,66.398315,3.46
10.237,45.370174,0.865
8.144,30.122118,0.936
6.994,23.121756,2.087
6.156,26.834574,4.92
5.573,36.01562,7.642
5.205,40.40724,5.531
5.763,35.674564,3.086
6.778,37.466213,3.906
9.415,36.44474,3.253
9.958,23.373474,0.479
9.151,12.96324,0.204
7.905,6.5901484,0.539
8.144,4.924481,2.039
6.778,2.1691248,1.132
5.763,0.36641642,0.875
5.387,5.3500433,12.526
26.679,11.347523,7.798
17.367,13.91765,3.859
15.072,11.693353,2.223
14.71,6.476953,0.88
112.058,2.2536654,0.449
34.234,0.13084282,0.266
15.813,0.0,0.604
10.811,0.0,2.9
8.389,0.0,0.168
7.44,0.0,0.777
6.566,0.0,0.618
5.763,0.0,0.282
5.205,0.0,0.071
4.685,0.0,0.089
4.359,0.0,0.45
4.047,0.0,0.675
3.751,0.0,0.224
3.609,0.0,0.745
3.335,0.0,2.138
3.203,0.0,0.466
3.075,0.0,1.083
3.075,0.6419298,10.71
3.075,0.0,0.743
3.897,0.0,0.529
4.855,0.0,0.71
4.047,0.0,2.814
3.897,0.051867433,3.319
3.335,0.0,1.277
3.075,0.0,0.462
2.829,0.0,0.294
2.711,0.0,0.247
2.711,0.0,0.983
2.951,0.12840755,5.791
2.829,0.0,0.342
2.711,0.0,0.128
3.203,0.0,1.463
3.203,0.10289294,3.017
2.951,0.34504148,3.094
2.829,0.68549466,0.655
2.597,1.0914217,0.787
2.597,1.5325333,0.368
2.597,1.985771,0.343
2.486,2.432921,0.292
2.378,2.8627887,0.584
2.378,3.2619536,0.096
2.171,3.6241596,0.139
2.171,3.9561565,1.575
2.273,5.9532614,16.136
2.171,4.2218423,2.173
2.273,1.1956973,0.871
4.685,0.0,0.103
3.609,0.0,0.141
3.609,0.0,0.143
3.203,0.026360396,0.031
2.829,0.15026614,0.008
2.597,0.34616524,0.008
2.486,0.59165686,0.486
2.378,0.8747843,2.098
2.273,1.1738015,0.347
2.171,1.4749191,0.184
2.072,1.7686557,0.298
2.171,2.0506861,0.898
2.072,2.3143342,0.626
2.072,2.5621355,1.846
2.072,2.7858396,0.718
1.977,2.9825392,0.408
1.977,3.1508489,0.185
1.884,3.2929075,0.541
1.884,3.4077365,0.106
1.884,3.4976878,0.305
1.794,3.5634446,0.041
1.794,3.6077697,0.251
1.708,3.6330597,0.382
1.708,3.6416945,0.542
1.624,3.634574,0.247
1.624,3.6151676,0.842
1.624,3.5938842,3.874
1.624,3.0783179,1.845
1.542,3.0732167,0.327
1.542,3.0567305,0.203
1.624,3.0298624,0.0
1.464,2.9941895,0.09
1.388,2.9508383,0.007
1.315,2.899979,0.0
1.388,2.8429546,0.018
1.315,2.7818089,0.675
1.315,2.7171378,0.463
1.315,2.6544669,4.584
1.315,2.0825047,1.211
1.388,2.0529418,0.034
1.177,2.0189438,0.104
1.177,1.9811808,0.008
0.93,1.9403445,0.0
0.874,1.89708,0.029
1.177,1.8519187,0.0
1.245,1.8053758,0.044
1.049,1.757849,0.0
1.112,1.7097772,0.133
1.112,1.6614301,0.045
1.049,1.6130645,0.0
0.988,1.5650128,0.258
1.049,1.5175266,0.477
1.112,1.4708972,1.004
0.988,1.4249278,0.003
0.874,1.3797628,0.088
0.874,1.3354803,0.0
0.769,1.2921623,0.0
0.673,1.2499108,0.214
0.629,1.208732,0.005
0.586,1.1686659,0.037
0.469,1.1297318,0.0
0.434,1.0919445,0.0
0.369,1.055312,0.027
0.213,1.0198318,0.0
0.174,0.985423,0.0
0.139,0.9520987,0.074
0.096,0.91985196,0.015
0.073,0.88867724,0.035
0.054,0.8585605,0.0
0.039,0.829485,0.0
0.022,0.8014366,0.12
0.008,0.7743964,0.246
0.003,0.7483374,0.25
0.0,0.72323,0.218
0.0,0.69929725,6.238
0.0,0.071875766,2.599
0.0,0.07844599,2.173
0.0,0.08479448,3.667
0.0,0.090454385,0.0
0.0,0.09544432,0.094
0.0,0.099774376,0.0
0.0,0.10347849,0.04
0.0,0.106589004,0.0
0.0,0.10914908,0.042
0.0,0.11119661,0.0
0.0,0.11277392,0.0
0.0,0.11392641,0.064
0.0,0.11469548,0.1
0.0,0.11511401,0.0
0.0,0.11521826,0.0
0.0,0.11504258,0.0
0.0,0.11461877,0.0
0.0,0.11397627,0.0
0.0,0.11322282,2.742
1.977,0.124928765,13.518
1.245,0.43349814,16.642
1.624,2.2031634,16.98
3.335,0.0,0.428
2.711,0.0,0.098
2.597,0.0,0.092
1.624,0.0,0.0
1.624,0.0,0.019
1.542,0.0,0.0
1.315,0.039117973,0.0
1.245,0.19935757,0.0
1.245,0.43917313,0.0
1.112,0.72363645,0.0
0.874,1.026827,0.07
0.72,1.329929,0.128
0.629,1.6312263,2.42
0.629,1.9200072,2.029
0.469,2.179604,0.05
1.624,2.4073105,0.261
1.388,2.600327,0.0
1.245,2.7588687,0.0
1.315,2.8846292,0.075
0.988,2.9805195,0.292
0.769,3.0500069,0.604
0.673,3.0936341,0.0
0.434,3.1150222,0.24
0.369,3.1164012,0.04
0.311,3.101414,0.422
0.213,3.0715413,0.0
0.174,3.029189,0.0
0.109,2.976571,0.018
0.073,2.9155052,0.0
0.027,2.8477495,0.001
0.027,2.774844,0.0
0.014,2.6981254,0.0
0.008,2.618743,0.0
0.001,2.53768,0.0
0.0,2.4557638,0.0
0.0,2.3737428,0.078
0.0,2.2921374,0.0
0.0,2.2114196,0.0
0.0,2.1319766,0.0
0.0,2.0541399,0.057
0.0,1.9781232,0.0
0.0,1.9041114,0.0
0.0,1.8322731,0.115
0.0,1.7626681,0.0
0.0,1.6953593,0.0
0.0,1.6303798,0.0
0.0,1.5677599,0.122
0.0,1.5074685,0.0
0.0,1.4494938,0.102
0.0,1.3938143,0.273
0.0,1.3404499,1.039
0.0,1.2892437,0.192
0.0,1.24014,0.257
0.0,1.1930624,0.141
0.0,1.147946,0.168
0.0,1.1047573,0.828
0.0,1.0633912,0.32
0.0,1.0238261,1.494
0.0,0.98593116,0.215
0.0,0.9496332,0.036
0.0,0.9148651,0.004
0.0,0.88156515,0.0
0.0,0.8496696,0.0
0.0,0.8191207,0.072
0.0,0.7898645,0.403
0.0,0.7618423,0.365
0.0,0.7349989,0.484
0.0,0.7092905,1.315
0.0,0.68465745,0.771
0.0,0.66105616,1.602
0.0,0.6384506,3.036
0.0,0.6167683,0.414
0.0,0.5959706,0.806
0.0,0.5760116,0.108
0.0,0.5568541,0.258
0.0,0.5384635,0.534
0.0,0.5208024,0.044
