vazao,vazao_calc,chuva_media
0.0,0.0,1.567
0.0,0.0,2.077
0.0,0.0,0.179
0.0,0.0,1.503
0.0,0.0,0.101
0.0,0.0,0.745
0.0,0.0,10.583
0.002,0.17814448,23.018
0.0,0.09235327,4.296
0.0,0.0,1.183
0.0,0.0,3.338
0.0,0.0,0.242
0.0,0.0,0.302
0.0,0.0,0.074
0.0,0.0,3.32
1.422,0.16934979,11.88
0.0,0.0,2.184
0.0,0.0,0.603
0.0,0.0,4.657
0.0,0.0,2.021
0.0,0.0,2.569
0.0,0.0,3.757
0.0,0.0,0.492
0.0,0.0,1.59
0.0,0.5182812,17.424
0.0,2.1530855,10.857
0.0,4.0033197,7.789
0.0,5.7365756,6.639
0.0,15.8680315,18.423
0.0,29.010592,15.097
4.967,57.41533,19.82
2.096,70.213005,13.43
1.148,52.302143,4.247
4.32,27.309948,0.29
8.199,15.097281,0.983
3.2,17.098118,5.789
11.377,30.08305,13.244
2.721,38.40375,10.537
9.701,20.154049,0.473
4.32,12.189854,1.667
2.292,5.350002,0.647
1.911,2.8231502,1.918
1.025,0.16817603,0.0
0.709,0.0,1.355
0.197,0.0,1.492
0.128,0.0,0.071
0.013,0.0,0.415
0.078,0.0,2.969
1.148,0.0,3.704
1.911,1.3874084,12.85
8.681,5.6065583,11.757
8.199,11.073049,10.191
5.676,24.00665,14.653
4.019,36.333317,12.469
20.0,68.99413,19.58
70.546,100.33256,18.23
58.309,102.86142,12.569
66.35,89.90591,8.922
49.993,66.95065,4.639
29.854,70.54277,10.557
34.56,85.88132,14.158
92.931,62.098957,4.094
58.309,58.278316,7.733
70.546,57.606903,8.554
117.552,80.72963,16.157
270.389,172.23892,30.193
336.316,135.82527,10.182
138.772,73.72606,1.13
58.309,48.486988,2.478
35.809,29.824123,1.376
30.988,17.599615,1.034
27.671,11.170391,1.623
16.764,13.26324,5.136
21.764,29.21113,14.535
112.455,66.654755,20.715
97.681,58.10546,6.428
70.546,42.89496,3.471
58.309,23.624605,0.51
22.683,11.451266,0.064
15.285,10.019501,3.289
12.595,14.964545,7.884
16.013,17.591541,6.22
28.749,16.694843,4.193
24.599,14.328992,3.199
16.013,19.02952,8.331
49.993,19.064138,4.572
28.749,10.079316,0.591
20.869,4.0536227,0.17
13.897,2.7275262,2.228
10.24,4.1614833,4.806
3.459,11.597447,14.182
1.28,12.935326,4.765
29.854,21.166954,11.71
79.222,26.594109,8.968
70.546,17.920809,1.831
29.854,15.209703,3.196
20.869,16.423964,5.206
26.62,18.596434,6.5
24.599,24.073614,9.641
49.993,18.528435,2.783
29.854,8.586836,0.0
20.0,5.4222603,1.8
1.911,11.173525,10.94
23.628,32.461784,20.057
16.013,24.420885,2.643
66.35,16.020216,1.565
29.854,9.081551,0.907
21.764,3.9443219,0.395
12.595,0.95260084,0.2
9.182,0.0049440307,0.458
6.449,0.0,0.941
4.967,0.029594261,3.572
20.0,9.712598,23.239
58.309,16.456682,8.113
58.309,12.635737,1.737
29.854,14.720329,4.531
33.34,15.585367,3.794
25.596,10.70009,1.273
20.0,8.709725,2.101
15.285,11.20012,5.445
24.599,9.554726,2.402
20.0,5.5755997,0.855
12.595,2.3143969,0.305
7.735,0.62275803,0.47
6.449,0.08588049,1.092
4.967,0.0,0.762
3.732,0.0,1.538
2.721,0.0,1.131
1.911,0.0,0.0
2.292,0.0,0.0
1.574,0.0,0.0
1.025,0.0,0.108
0.806,0.0,0.0
0.911,0.0,2.353
0.911,0.0,3.007
1.025,0.12763809,4.401
1.28,0.0,1.744
1.737,0.0,1.569
2.292,0.0,0.431
2.721,0.0,0.96
2.292,0.0,1.054
1.911,0.0,0.043
1.574,0.0,0.205
1.28,0.0,0.332
0.806,0.0,1.109
0.467,0.0,0.329
0.4,0.0,0.202
0.54,0.0,0.279
0.467,0.0,0.95
0.54,0.0,0.249
0.4,0.0,0.0
0.4,0.0,0.299
0.34,0.0,0.685
0.4,0.0,0.063
0.287,0.0,0.447
0.287,0.0,3.141
0.4,0.029427063,7.306
0.287,0.0,0.177
0.287,0.0,0.178
0.287,0.0,0.224
0.287,0.0,1.313
0.287,0.01896136,6.193
0.4,0.046592902,3.114
0.4,0.0,0.188
0.4,0.0,0.005
0.287,0.0,0.307
0.239,0.0,0.325
0.197,0.0,0.125
0.043,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.105
0.0,0.0,0.16
0.0,0.0,0.0
0.0,0.0,0.933
0.0,0.0,0.857
0.0,0.0,0.016
0.0,0.0,0.215
0.0,0.0,3.111
1.96,0.0,3.172
0.0,0.0,1.114
0.0,0.0,0.304
0.0,0.0,0.244
0.0,0.0,0.271
0.0,0.0,0.63
0.0,0.0,0.766
0.0,0.0,0.324
0.0,0.0,0.865
0.0,0.0,4.874
0.0,0.03402178,12.021
0.0,0.0,1.026
0.0,0.0,0.599
0.0,0.026667504,5.841
7.179,0.21601115,7.401
8.167,0.0,0.0
7.664,0.0,0.0
7.179,0.0,0.632
6.263,0.0,0.026
5.02,0.0,0.19
0.393,0.0,0.086
0.393,0.0,0.0
0.307,0.0,0.0
0.12,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.037
0.0,0.0,0.0
0.0,0.0,0.121
0.0,0.0,0.0
0.0,0.0,0.102
0.0,0.0,0.134
0.0,0.0,0.0
0.0,0.0,0.011
0.0,0.0,2.826
0.0,0.0,0.328
0.0,0.0,0.766
0.079,0.0,0.25
0.12,0.0,0.0
0.0,0.0,0.283
0.0,0.0,0.407
0.0,0.0,0.331
0.0,0.0,2.309
0.0,0.0,4.48
0.0,0.0,1.579
0.0,0.0,6.658
0.0,0.14146377,20.615
21.989,0.0,0.457
20.375,0.0,0.627
15.952,0.0,0.077
14.226,0.0,0.417
3.289,0.0,2.432
2.445,0.0,0.73
0.721,0.0,0.399
0.307,0.0,0.0
0.024,0.0,0.03
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.142
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.172
0.0,0.0,0.47
0.0,0.0,0.0
0.0,0.0,0.199
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.286
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.063
0.0,0.0,0.325
0.0,0.0,0.0
0.0,0.0,0.804
0.0,0.0,0.132
0.0,0.0,3.733
0.0,0.0,0.0
0.0,0.0,0.118
0.0,0.003148745,0.179
0.0,0.013335537,0.377
0.0,0.028704429,5.822
0.0,0.108145796,14.848
0.49,1.0383629,18.112
0.307,0.9858751,3.715
15.053,1.0629468,3.93
7.664,1.4659525,4.385
1.168,0.0,0.449
0.307,0.0,0.779
0.599,0.068558946,5.294
0.721,0.5309044,8.668
9.786,2.2507827,12.514
26.642,5.6691313,11.848
31.139,16.41258,17.61
14.614,26.100945,12.149
52.38,39.010704,13.215
39.033,24.231808,1.564
20.905,17.559088,2.586
25.43,18.816387,5.522
35.318,24.821527,9.46
39.033,32.68239,10.707
37.521,51.336052,15.613
43.775,42.194927,4.499
39.033,28.256908,2.245
33.891,18.980537,2.121
27.886,19.63855,5.244
18.333,22.567902,7.329
0.0,31.96916,11.905
0.0,33.185474,7.326
57.019,30.277283,5.006
61.884,23.639807,3.379
0.0,9.948121,0.359
0.0,2.4552624,0.0
0.0,0.001964071,0.0
0.0,0.0,0.0
0.0,0.0,0.0
