intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,2192,6586,-0.0767,-2.1689,-1.4856,11.1758,-99.9987
total,2192,6586,-0.0767,-2.1689,-1.4856,11.1758,-99.9987
