intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,2192,6586,-0.0763,-2.1496,-1.3659,11.1739,-99.9040
total,2192,6586,-0.0763,-2.1496,-1.3659,11.1739,-99.9040
