intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,2192,6586,-0.0763,-2.1481,-1.3610,11.1738,-99.8986
total,2192,6586,-0.0763,-2.1481,-1.3610,11.1738,-99.8986
