intervalo,inicio,fim,Nash,Nash_log,Nash_sqrt,RMS,Pbias
calibracao,2192,6586,-0.0763,-2.1496,-1.3658,11.1738,-99.9037
total,2192,6586,-0.0763,-2.1496,-1.3658,11.1738,-99.9037
